"","InstNr","n()","min(moves)"
"1",1,50,50
"2",2,50,47
"3",3,50,48
"4",4,50,44
"5",5,50,44
"6",6,50,46
"7",7,50,54
"8",8,50,53
"9",9,50,40
"10",10,50,43
"11",11,50,46
"12",12,50,41
"13",13,50,42
"14",14,50,44
"15",15,50,50
"16",16,50,42
"17",17,50,46
"18",18,50,48
"19",19,50,51
"20",20,50,45
"21",21,50,45
"22",22,50,52
"23",23,50,45
"24",24,50,47
"25",25,50,43
"26",26,50,36
"27",27,50,45
"28",28,50,51
"29",29,50,46
"30",30,50,45
"31",31,50,48
"32",32,50,55
"33",33,50,47
"34",34,50,46
"35",35,50,36
"36",36,50,48
"37",37,50,45
"38",38,50,42
"39",39,50,50
"40",40,50,48
