"","InstNr","n()","min(moves)"
"1",1,30,11
"2",2,30,7
"3",3,30,11
"4",4,30,7
"5",5,30,4
"6",6,30,10
"7",7,30,11
"8",8,29,9
"9",9,30,9
"10",10,28,7
"11",11,30,3
"12",12,30,10
"13",13,30,8
"14",14,30,8
"15",15,29,9
"16",16,30,10
"17",17,30,11
"18",18,30,6
"19",19,30,10
"20",20,30,7
"21",21,30,10
"22",22,30,10
"23",23,30,11
"24",24,30,10
"25",25,30,7
"26",26,30,14
"27",27,30,9
"28",28,30,5
"29",29,30,8
"30",30,30,7
"31",31,30,9
"32",32,30,7
"33",33,30,7
"34",34,30,7
"35",35,29,4
"36",36,30,8
"37",37,30,11
"38",38,30,9
"39",39,30,7
"40",40,29,8
