"","InstNr","n()","min(moves)"
"1",1,30,17
"2",2,30,8
"3",3,30,13
"4",4,30,14
"5",5,30,15
"6",6,30,16
"7",7,30,14
"8",8,30,12
"9",9,30,13
"10",10,30,17
"11",11,30,14
"12",12,30,13
"13",13,30,14
"14",14,30,11
"15",15,30,15
"16",16,30,10
"17",17,30,16
"18",18,30,16
"19",19,30,14
"20",20,30,11
"21",21,30,14
"22",22,30,10
"23",23,30,9
"24",24,30,17
"25",25,30,18
"26",26,30,13
"27",27,30,14
"28",28,30,18
"29",29,30,14
"30",30,30,15
"31",31,30,8
"32",32,30,15
"33",33,30,15
"34",34,30,15
"35",35,30,16
"36",36,30,17
"37",37,30,15
"38",38,30,14
"39",39,30,14
"40",40,29,17
