"","InstNr","n()","min(moves)"
"1",1,31,30
"2",2,30,31
"3",3,30,34
"4",4,30,34
"5",5,30,30
"6",6,30,36
"7",7,30,32
"8",8,30,25
"9",9,30,27
"10",10,30,29
"11",11,30,32
"12",12,30,24
"13",13,30,28
"14",14,30,28
"15",15,30,34
"16",16,30,31
"17",17,30,29
"18",18,30,31
"19",19,30,32
"20",20,30,27
"21",21,30,30
"22",22,30,31
"23",23,30,35
"24",24,30,31
"25",25,30,27
"26",26,30,31
"27",27,30,36
"28",28,30,27
"29",29,30,37
"30",30,30,38
"31",31,30,35
"32",32,30,25
"33",33,30,28
"34",34,30,32
"35",35,30,32
"36",36,30,30
"37",37,30,29
"38",38,30,28
"39",39,30,36
"40",40,30,40
