"","InstNr","n()","min(moves)"
"1",1,30,18
"2",2,30,24
"3",3,20,29
"4",4,30,22
"5",5,20,28
"6",6,25,23
"7",7,35,17
"8",8,25,25
"9",9,30,18
"10",10,25,25
"11",11,25,25
"12",12,25,25
"13",13,24,28
"14",14,21,23
"15",15,25,24
"16",16,20,23
"17",17,25,26
"18",18,22,27
"19",19,20,24
"20",20,20,29
"21",21,22,28
"22",22,25,24
"23",23,25,24
"24",24,25,23
"25",25,30,23
"26",26,30,20
"27",27,25,26
"28",28,25,25
"29",29,20,23
"30",30,29,27
"31",31,25,22
"32",32,23,22
"33",33,25,24
"34",34,24,29
"35",35,20,24
"36",36,20,22
"37",37,25,21
"38",38,30,20
"39",39,20,30
"40",40,25,30
