"","InstNr","n()","min(moves)"
"1",1,50,35
"2",2,50,36
"3",3,50,39
"4",4,50,32
"5",5,50,33
"6",6,50,34
"7",7,50,35
"8",8,50,32
"9",9,50,33
"10",10,50,31
"11",11,50,34
"12",12,50,33
"13",13,50,31
"14",14,50,38
"15",15,50,36
"16",16,50,33
"17",17,50,37
"18",18,50,28
"19",19,50,32
"20",20,50,31
"21",21,50,30
"22",22,50,33
"23",23,50,31
"24",24,50,32
"25",25,50,35
"26",26,50,27
"27",27,50,38
"28",28,50,40
"29",29,50,40
"30",30,50,35
"31",31,50,35
"32",32,50,28
"33",33,50,35
"34",34,50,34
"35",35,50,29
"36",36,50,33
"37",37,50,33
"38",38,50,35
"39",39,50,33
"40",40,50,27
