"","InstNr","n()","min(moves)"
"1",1,40,15
"2",2,30,19
"3",3,40,15
"4",4,40,12
"5",5,35,17
"6",6,24,14
"7",7,32,12
"8",8,35,20
"9",9,35,15
"10",10,35,11
"11",11,40,13
"12",12,35,19
"13",13,35,19
"14",14,34,16
"15",15,40,12
"16",16,40,17
"17",17,35,20
"18",18,40,7
"19",19,40,18
"20",20,35,17
"21",21,39,18
"22",22,40,13
"23",23,39,9
"24",24,40,17
"25",25,34,8
"26",26,35,21
"27",27,35,14
"28",28,30,18
"29",29,40,19
"30",30,35,14
"31",31,40,11
"32",32,35,19
"33",33,34,14
"34",34,40,17
"35",35,35,15
"36",36,35,17
"37",37,40,13
"38",38,35,18
"39",39,35,18
"40",40,35,16
