"","InstNr","n()","min(moves)"
"1",1,20,27
"2",2,24,16
"3",3,23,24
"4",4,20,24
"5",5,20,23
"6",6,25,17
"7",7,20,20
"8",8,25,18
"9",9,20,25
"10",10,20,21
"11",11,22,19
"12",12,20,22
"13",13,25,22
"14",14,25,20
"15",15,23,24
"16",16,25,24
"17",17,30,22
"18",18,20,26
"19",19,30,23
"20",20,25,20
"21",21,20,23
"22",22,15,20
"23",23,20,24
"24",24,20,21
"25",25,20,25
"26",26,15,27
"27",27,20,22
"28",28,15,24
"29",29,20,24
"30",30,20,16
"31",31,20,19
"32",32,23,24
"33",33,20,22
"34",34,20,24
"35",35,20,26
"36",36,20,23
"37",37,20,23
"38",38,20,24
"39",39,24,18
"40",40,16,21
