"","InstNr","n()","min(moves)"
"1",1,45,25
"2",2,40,23
"3",3,40,27
"4",4,40,27
"5",5,40,34
"6",6,40,30
"7",7,40,28
"8",8,40,25
"9",9,40,30
"10",10,40,30
"11",11,40,33
"12",12,40,30
"13",13,40,29
"14",14,40,27
"15",15,40,33
"16",16,40,29
"17",17,40,23
"18",18,40,30
"19",19,40,27
"20",20,40,28
"21",21,40,29
"22",22,40,33
"23",23,40,22
"24",24,40,24
"25",25,40,23
"26",26,40,27
"27",27,40,30
"28",28,40,27
"29",29,40,24
"30",30,40,30
"31",31,39,27
"32",32,40,27
"33",33,40,30
"34",34,40,28
"35",35,40,25
"36",36,40,24
"37",37,40,30
"38",38,40,29
"39",39,40,27
"40",40,40,26
