"","InstNr","n()","min(moves)"
"1",1,30,95
"2",2,30,65
"3",3,30,84
"4",4,30,86
"5",5,30,74
"6",6,30,82
"7",7,30,87
"8",8,30,81
"9",9,30,87
"10",10,30,91
"11",11,30,68
"12",12,30,84
"13",13,30,84
"14",14,30,79
"15",15,30,69
"16",16,30,69
"17",17,30,74
"18",18,30,72
"19",19,30,81
"20",20,30,85
"21",21,30,68
"22",22,30,65
"23",23,30,61
"24",24,30,86
"25",25,30,88
"26",26,30,75
"27",27,30,91
"28",28,30,76
"29",29,30,77
"30",30,30,70
"31",31,30,86
"32",32,30,91
"33",33,30,80
"34",34,30,110
"35",35,30,85
"36",36,30,92
"37",37,30,67
"38",38,30,82
"39",39,30,65
"40",40,30,86
