"","InstNr","n()","min(moves)"
"1",1,45,34
"2",2,45,29
"3",3,45,37
"4",4,45,28
"5",5,45,31
"6",6,45,31
"7",7,45,33
"8",8,45,27
"9",9,45,27
"10",10,45,31
"11",11,45,29
"12",12,45,23
"13",13,45,28
"14",14,45,33
"15",15,45,32
"16",16,45,32
"17",17,45,32
"18",18,45,28
"19",19,44,31
"20",20,45,25
"21",21,45,29
"22",22,45,33
"23",23,45,34
"24",24,45,27
"25",25,45,36
"26",26,45,31
"27",27,45,33
"28",28,45,31
"29",29,45,30
"30",30,45,32
"31",31,45,31
"32",32,45,26
"33",33,45,36
"34",34,45,32
"35",35,45,28
"36",36,45,34
"37",37,45,22
"38",38,45,31
"39",39,45,34
"40",40,45,32
