"","InstNr","n()","min(moves)"
"1",1,50,110
"2",2,50,106
"3",3,50,105
"4",4,50,114
"5",5,50,120
"6",6,50,112
"7",7,50,119
"8",8,50,119
"9",9,50,115
"10",10,50,111
"11",11,50,112
"12",12,50,128
"13",13,50,94
"14",14,50,116
"15",15,50,119
"16",16,50,123
"17",17,50,142
"18",18,50,113
"19",19,50,112
"20",20,50,129
"21",21,50,115
"22",22,50,115
"23",23,50,107
"24",24,50,114
"25",25,50,118
"26",26,50,125
"27",27,50,118
"28",28,50,124
"29",29,50,118
"30",30,50,115
"31",31,50,118
"32",32,50,106
"33",33,50,119
"34",34,50,119
"35",35,50,115
"36",36,50,100
"37",37,50,118
"38",38,50,118
"39",39,50,111
"40",40,50,112
