"","InstNr","n()","min(moves)","max(moves)"
"1",1,30,31,32
"2",2,30,31,33
"3",3,30,34,36
"4",4,30,35,38
"5",5,30,32,35
"6",6,30,36,39
"7",7,30,32,34
"8",8,30,25,28
"9",9,30,27,28
"10",10,30,29,29
"11",11,30,32,33
"12",12,30,24,24
"13",13,30,28,28
"14",14,30,28,28
"15",15,30,34,36
"16",16,30,32,35
"17",17,30,29,29
"18",18,30,31,33
"19",19,30,32,34
"20",20,30,27,29
"21",21,30,29,32
"22",22,30,31,32
"23",23,30,35,37
"24",24,30,31,33
"25",25,30,27,30
"26",26,30,32,33
"27",27,30,36,40
"28",28,30,27,29
"29",29,30,37,39
"30",30,30,38,40
"31",31,30,35,37
"32",32,30,25,26
"33",33,30,28,29
"34",34,30,32,34
"35",35,30,32,32
"36",36,30,30,30
"37",37,30,29,32
"38",38,30,28,31
"39",39,30,36,41
"40",40,30,40,41
