"","InstNr","n()","min(moves)","max(moves)"
"1",1,40,25,28
"2",2,40,23,23
"3",3,40,27,29
"4",4,40,28,29
"5",5,40,34,34
"6",6,40,30,32
"7",7,40,28,29
"8",8,40,25,27
"9",9,40,30,30
"10",10,40,30,31
"11",11,40,33,33
"12",12,40,30,32
"13",13,40,29,29
"14",14,40,27,27
"15",15,40,33,35
"16",16,40,29,29
"17",17,40,23,23
"18",18,40,30,31
"19",19,40,27,27
"20",20,40,28,28
"21",21,40,29,31
"22",22,40,33,36
"23",23,40,22,23
"24",24,40,24,25
"25",25,40,23,25
"26",26,40,27,27
"27",27,40,31,32
"28",28,40,27,29
"29",29,40,24,25
"30",30,40,30,32
"31",31,40,27,27
"32",32,40,27,30
"33",33,40,30,31
"34",34,40,28,28
"35",35,40,25,27
"36",36,40,24,25
"37",37,40,30,34
"38",38,40,29,32
"39",39,40,27,29
"40",40,40,26,28
