"","InstNr","n()","min(moves)","max(moves)"
"1",1,15,6,6
"2",2,14,5,6
"3",3,15,2,2
"4",4,14,4,4
"5",5,12,1,1
"6",6,15,6,6
"7",7,15,6,6
"8",8,15,2,2
"9",9,15,7,8
"10",10,15,5,5
"11",11,15,3,3
"12",12,15,5,5
"13",13,15,8,8
"14",14,15,7,7
"15",15,15,6,7
"16",16,15,7,7
"17",17,15,5,5
"18",18,14,2,2
"19",19,15,8,8
"20",20,15,7,7
"21",21,14,7,7
"22",22,15,4,4
"23",23,15,6,6
"24",24,15,6,6
"25",25,15,4,4
"26",26,14,4,4
"27",27,15,5,5
"28",28,15,5,5
"29",29,15,7,7
"30",30,15,6,6
"31",31,15,5,5
"32",32,12,2,2
"33",33,14,3,3
"34",34,15,6,6
"35",35,14,5,5
"36",36,15,7,7
"37",37,15,5,5
"38",38,15,4,4
"39",39,15,0,0
"40",40,15,7,7
