"","InstNr","n()","min(moves)","max(moves)"
"1",1,50,36,37
"2",2,50,36,37
"3",3,50,39,43
"4",4,50,32,32
"5",5,50,33,34
"6",6,50,34,37
"7",7,50,35,38
"8",8,50,32,33
"9",9,49,34,36
"10",10,50,31,32
"11",11,50,34,36
"12",12,50,34,37
"13",13,50,31,31
"14",14,50,38,41
"15",15,50,36,39
"16",16,50,33,34
"17",17,50,37,38
"18",18,50,28,29
"19",19,50,32,35
"20",20,50,31,32
"21",21,50,30,30
"22",22,50,33,34
"23",23,50,31,33
"24",24,50,32,34
"25",25,50,35,37
"26",26,50,27,29
"27",27,50,38,40
"28",28,50,39,42
"29",29,50,40,40
"30",30,50,35,35
"31",31,50,35,36
"32",32,50,28,30
"33",33,50,35,36
"34",34,50,34,35
"35",35,50,29,30
"36",36,50,33,34
"37",37,50,33,34
"38",38,50,34,39
"39",39,50,33,38
"40",40,50,27,27
