"","InstNr","n()","min(moves)","max(moves)"
"1",1,72,50,52
"2",2,50,47,50
"3",3,50,48,52
"4",4,50,43,46
"5",5,50,44,46
"6",6,50,46,47
"7",7,50,54,56
"8",8,50,53,54
"9",9,50,40,40
"10",10,50,43,45
"11",11,50,46,50
"12",12,50,41,42
"13",13,50,42,45
"14",14,50,44,46
"15",15,50,51,55
"16",16,50,42,44
"17",17,50,46,48
"18",18,50,48,48
"19",19,50,50,52
"20",20,50,45,46
"21",21,50,0,48
"22",22,50,52,55
"23",23,50,44,45
"24",24,50,47,48
"25",25,50,43,47
"26",26,50,36,37
"27",27,50,45,47
"28",28,50,51,52
"29",29,50,46,49
"30",30,50,45,47
"31",31,50,48,48
"32",32,50,56,60
"33",33,50,47,49
"34",34,50,46,49
"35",35,50,36,37
"36",36,50,48,50
"37",37,50,45,48
"38",38,50,42,43
"39",39,50,51,59
"40",40,50,48,50
