"","InstNr","n()","min(moves)","max(moves)"
"1",1,40,8,8
"2",2,40,10,11
"3",3,40,9,9
"4",4,40,10,10
"5",5,40,13,13
"6",6,40,9,9
"7",7,40,13,13
"8",8,40,12,12
"9",9,39,9,9
"10",10,40,10,10
"11",11,40,11,11
"12",12,40,11,11
"13",13,39,12,13
"14",14,40,12,12
"15",15,40,9,9
"16",16,39,8,8
"17",17,40,8,8
"18",18,40,9,9
"19",19,39,12,12
"20",20,40,11,12
"21",21,40,10,10
"22",22,40,10,10
"23",23,40,9,10
"24",24,40,9,9
"25",25,40,9,9
"26",26,40,16,16
"27",27,40,10,10
"28",28,40,11,11
"29",29,40,13,13
"30",30,40,11,11
"31",31,40,12,13
"32",32,40,12,12
"33",33,40,11,11
"34",34,40,10,11
"35",35,40,14,15
"36",36,40,10,10
"37",37,40,9,9
"38",38,39,14,14
"39",39,40,10,10
"40",40,40,10,10
