Instance                  W    H  MaxH Blocks    Moves     c     time
../v3/data/data3-5-26.dat   5  3    5  15           9       2     0
../v3/data/data3-5-27.dat   5  3    5  15           7       2     0
../v3/data/data3-5-28.dat   5  3    5  15           6       2     0
../v3/data/data3-5-29.dat   5  3    5  15           8       2     0
../v3/data/data3-5-30.dat   5  3    5  15           5       2     0
../v3/data/data3-5-31.dat   5  3    5  15           9       2     0
../v3/data/data3-5-32.dat   5  3    5  15           7       2     0
../v3/data/data3-5-33.dat   5  3    5  15           7       2     0
../v3/data/data3-5-34.dat   5  3    5  15           8       2     0
../v3/data/data3-5-35.dat   5  3    5  15           6       2     0
../v3/data/data3-5-36.dat   5  3    5  15           8       2     0
../v3/data/data3-5-37.dat   5  3    5  15          10       2     0
../v3/data/data3-5-38.dat   5  3    5  15           3       2     0
../v3/data/data3-5-39.dat   5  3    5  15           5       2     0
../v3/data/data3-5-40.dat   5  3    5  15           5       2     0
../v3/data/data3-6-1.dat   6   3   5     18          11       2     0
../v3/data/data3-6-2.dat   6   3   5     18           7       2     0
../v3/data/data3-6-3.dat   6   3   5     18          11       2     0
../v3/data/data3-6-4.dat   6   3   5     18           7       2     0
../v3/data/data3-6-5.dat   6   3   5     18           4       2     0
../v3/data/data3-6-6.dat   6   3   5  18          10       2     0
../v3/data/data3-6-7.dat   6   3   5  18          11       2     0
../v3/data/data3-6-8.dat   6   3   5  18           9       2     0
../v3/data/data3-6-9.dat   6   3   5  18           9       2     0
../v3/data/data3-6-10.dat   6  3    5  18           7       2    0
../v3/data/data3-6-11.dat   6  3    5  18           3       2     0
../v3/data/data3-6-12.dat   6  3    5  18          10       2     0
../v3/data/data3-6-13.dat   6  3    5  18           8       2     0
../v3/data/data3-6-14.dat   6  3    5  18           8       2     0
../v3/data/data3-6-15.dat   6  3    5  18           9       2     0
../v3/data/data3-6-16.dat   6  3    5  18          10       2     0
../v3/data/data3-6-17.dat   6  3    5  18          11       2     0
../v3/data/data3-6-18.dat   6  3    5  18           6       2     0
../v3/data/data3-6-19.dat   6  3    5  18          10       2     0
../v3/data/data3-6-20.dat   6  3    5  18           7       2     0
../v3/data/data3-6-21.dat   6  3    5  18          10       2     0
../v3/data/data3-6-22.dat   6  3    5  18          10       2     0
../v3/data/data3-6-23.dat   6  3    5  18          11       2 0.008
../v3/data/data3-6-24.dat   6  3    5  18          10       2 0.004
../v3/data/data3-6-25.dat   6  3    5  18           7       2     0
../v3/data/data3-6-26.dat   6  3    5  18          14       2 0.004
../v3/data/data3-6-27.dat   6  3    5  18           9       2     0
../v3/data/data3-6-28.dat   6  3    5  18           5       2     0
../v3/data/data3-6-29.dat   6  3    5  18           8       2     0
