"","InstNr","n()","min(moves)","max(moves)"
"1",1,50,109,126
"2",2,50,107,124
"3",3,50,106,124
"4",4,50,113,125
"5",5,50,116,140
"6",6,50,113,124
"7",7,50,117,132
"8",8,50,119,133
"9",9,50,116,124
"10",10,50,111,122
"11",11,50,110,124
"12",12,50,127,143
"13",13,50,94,104
"14",14,50,112,135
"15",15,50,117,140
"16",16,50,122,135
"17",17,50,134,162
"18",18,50,114,119
"19",19,50,111,122
"20",20,50,126,143
"21",21,50,115,130
"22",22,50,112,123
"23",23,50,106,121
"24",24,50,113,122
"25",25,50,120,132
"26",26,50,125,145
"27",27,50,118,133
"28",28,50,124,134
"29",29,50,115,132
"30",30,50,113,130
"31",31,50,117,127
"32",32,50,105,116
"33",33,50,119,133
"34",34,50,117,127
"35",35,50,116,125
"36",36,50,101,107
"37",37,50,117,125
"38",38,50,117,129
"39",39,50,112,130
"40",40,50,112,127
