"","InstNr","n()","min(moves)","max(moves)"
"1",1,35,17,19
"2",2,35,18,18
"3",3,35,13,13
"4",4,30,16,16
"5",5,35,16,16
"6",6,30,21,21
"7",7,35,18,18
"8",8,30,16,16
"9",9,30,17,17
"10",10,35,13,13
"11",11,30,16,17
"12",12,35,16,17
"13",13,35,15,16
"14",14,35,20,21
"15",15,35,15,15
"16",16,35,12,12
"17",17,35,10,11
"18",18,35,19,19
"19",19,35,14,15
"20",20,35,17,19
"21",21,30,18,19
"22",22,35,17,17
"23",23,35,11,12
"24",24,30,16,16
"25",25,30,16,17
"26",26,35,17,17
"27",27,35,14,14
"28",28,35,22,24
"29",29,35,14,14
"30",30,35,13,13
"31",31,30,22,22
"32",32,29,19,20
"33",33,30,18,19
"34",34,35,14,14
"35",35,35,20,21
"36",36,35,16,16
"37",37,35,17,17
"38",38,30,13,13
"39",39,35,14,15
"40",40,35,15,16
