"","InstNr","n()","min(moves)","max(moves)"
"1",1,20,15,15
"2",2,20,19,19
"3",3,20,15,15
"4",4,20,12,12
"5",5,20,17,20
"6",6,9,14,14
"7",7,12,12,12
"8",8,20,20,20
"9",9,20,15,15
"10",10,20,11,12
"11",11,20,13,13
"12",12,20,19,19
"13",13,20,19,19
"14",14,19,16,17
"15",15,20,12,12
"16",16,20,17,17
"17",17,20,20,20
"18",18,20,7,7
"19",19,20,18,18
"20",20,20,17,17
"21",21,19,18,19
"22",22,20,13,13
"23",23,20,9,9
"24",24,20,17,17
"25",25,20,8,8
"26",26,20,21,24
"27",27,20,14,15
"28",28,20,18,19
"29",29,20,19,20
"30",30,20,14,14
"31",31,20,11,12
"32",32,20,19,20
"33",33,19,14,14
"34",34,20,17,17
"35",35,20,15,15
"36",36,20,17,17
"37",37,20,13,13
"38",38,20,18,20
"39",39,20,18,19
"40",40,20,16,16
