"","InstNr","n()","min(moves)","max(moves)"
"1",1,30,27,29
"2",2,30,16,16
"3",3,30,24,26
"4",4,30,24,24
"5",5,30,23,24
"6",6,30,17,19
"7",7,30,20,20
"8",8,30,18,18
"9",9,30,25,25
"10",10,30,21,22
"11",11,30,19,19
"12",12,30,22,25
"13",13,30,22,23
"14",14,30,20,20
"15",15,30,24,24
"16",16,30,24,24
"17",17,30,22,23
"18",18,30,26,27
"19",19,30,23,23
"20",20,30,20,20
"21",21,30,23,24
"22",22,30,20,23
"23",23,30,24,24
"24",24,30,21,24
"25",25,30,25,25
"26",26,30,27,29
"27",27,30,22,25
"28",28,30,24,25
"29",29,30,24,25
"30",30,30,16,17
"31",31,30,19,21
"32",32,29,24,24
"33",33,30,22,22
"34",34,30,24,24
"35",35,30,26,27
"36",36,30,23,25
"37",37,30,23,24
"38",38,30,24,25
"39",39,30,18,19
"40",40,30,21,22
