"","InstNr","n()","min(moves)","max(moves)"
"1",1,32,34,35
"2",2,40,29,31
"3",3,40,37,43
"4",4,35,28,31
"5",5,45,31,32
"6",6,40,31,35
"7",7,40,33,33
"8",8,45,27,28
"9",9,35,27,27
"10",10,30,31,32
"11",11,40,29,30
"12",12,45,23,25
"13",13,40,28,30
"14",14,30,33,35
"15",15,36,32,32
"16",16,35,32,32
"17",17,40,33,34
"18",18,40,28,31
"19",19,35,31,32
"20",20,45,25,27
"21",21,40,29,30
"22",22,39,33,35
"23",23,34,34,35
"24",24,35,27,27
"25",25,45,36,38
"26",26,45,31,31
"27",27,45,33,36
"28",28,44,31,32
"29",29,45,30,31
"30",30,45,32,32
"31",31,40,31,34
"32",32,45,26,27
"33",33,35,35,38
"34",34,40,32,32
"35",35,40,28,29
"36",36,35,34,36
"37",37,45,22,23
"38",38,36,31,34
"39",39,35,35,36
"40",40,35,32,35
