"","InstNr","n()","min(moves)","max(moves)"
"1",1,19,10,10
"2",2,20,10,10
"3",3,20,10,10
"4",4,20,7,7
"5",5,20,9,9
"6",6,19,5,5
"7",7,20,13,14
"8",8,20,11,11
"9",9,20,7,7
"10",10,20,8,8
"11",11,20,10,10
"12",12,20,8,8
"13",13,20,12,12
"14",14,20,13,14
"15",15,20,8,8
"16",16,20,12,13
"17",17,20,9,9
"18",18,20,12,12
"19",19,20,11,11
"20",20,20,8,8
"21",21,20,11,12
"22",22,20,9,9
"23",23,20,10,10
"24",24,20,9,9
"25",25,20,11,11
"26",26,20,9,9
"27",27,20,12,12
"28",28,20,9,9
"29",29,20,11,11
"30",30,19,11,11
"31",31,20,9,9
"32",32,20,8,8
"33",33,20,13,13
"34",34,20,9,9
"35",35,20,13,14
"36",36,20,13,13
"37",37,20,9,9
"38",38,20,13,14
"39",39,20,12,12
"40",40,20,14,14
