"","InstNr","n()","min(moves)","max(moves)"
"1",1,30,95,102
"2",2,30,65,70
"3",3,30,83,95
"4",4,30,81,98
"5",5,30,74,84
"6",6,30,80,87
"7",7,30,86,96
"8",8,30,81,89
"9",9,30,87,103
"10",10,30,91,103
"11",11,30,68,75
"12",12,30,78,89
"13",13,30,79,88
"14",14,30,78,84
"15",15,30,67,75
"16",16,30,67,75
"17",17,30,72,83
"18",18,30,68,81
"19",19,30,78,85
"20",20,30,84,95
"21",21,30,67,77
"22",22,30,66,75
"23",23,30,61,72
"24",24,30,80,93
"25",25,30,87,97
"26",26,30,75,79
"27",27,30,86,102
"28",28,30,76,87
"29",29,30,75,86
"30",30,30,69,72
"31",31,30,83,94
"32",32,30,88,99
"33",33,30,77,88
"34",34,30,108,118
"35",35,30,85,100
"36",36,30,89,102
"37",37,30,67,76
"38",38,30,77,91
"39",39,30,65,68
"40",40,30,80,95
