"","InstNr","n()","min(moves)","max(moves)"
"1",1,35,18,18
"2",2,35,24,24
"3",3,30,29,32
"4",4,35,22,22
"5",5,35,28,31
"6",6,30,23,24
"7",7,35,17,17
"8",8,35,25,26
"9",9,35,18,18
"10",10,30,25,25
"11",11,30,25,25
"12",12,35,25,27
"13",13,30,28,29
"14",14,30,23,23
"15",15,30,24,25
"16",16,30,23,24
"17",17,34,26,26
"18",18,35,27,29
"19",19,25,24,25
"20",20,25,29,31
"21",21,27,28,29
"22",22,35,24,25
"23",23,30,24,25
"24",24,30,23,23
"25",25,35,23,23
"26",26,35,20,20
"27",27,30,26,26
"28",28,30,25,26
"29",29,25,23,24
"30",30,35,27,29
"31",31,30,22,23
"32",32,30,22,24
"33",33,35,25,26
"34",34,30,29,30
"35",35,30,24,25
"36",36,30,22,23
"37",37,35,21,22
"38",38,35,20,20
"39",39,25,30,31
"40",40,30,30,32
